cust_num,DMA,geo_demog_desc,comment_ind,prod_flg_10,prod_flg_11,tenure_months,dc_flg,cpe_cnt,svc_flg_01,svc_flg_02,prod_flg_01,prod_flg_02,prod_flg_03,prod_flg_04,prod_flg_05,prod_flg_06,prod_flg_07,prod_flg_08,prod_flg_09,prior_retention_handling_cnt,prior_escalations_cnt,prior_sprvsr_cnt,addl_cpe_cnt,prior_bill_credit_cnt,prior_bill_calls,prior_gen_Q_cnt,prior_svc_change_cnt,contract_flg,delta_metric_01,prior_reconnect_cnt,credit_score,vol_disco_ind,acct_type,product
50260304,Indianapolis IN,BLUE-CHIP BLUES,1,0,0,2,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,1,1,3,N,0,0,998,1,T019,P0003
50318735,Madison WI,HOMETOWN RETIRED,1,0,0,1,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,N,0,0,995,0,T019,P0003
50343359,New York NY,UPWARD BOUND,1,0,0,1,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,N,0,0,999,0,T019,P0003
50349986,New York NY,"BRITE LITES, LITTLE CITY",1,0,0,1,Y,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,N,0,0,999,0,T019,P0003
50364124,Detroit MI,BELTWAY BOOMERS,1,0,0,1,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,0,0,998,0,T019,P0003
56009561,Boston MA,BOHEMIAN MIX,1,0,0,4,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,998,0,T019,P0003
56115823,Hartford-New Haven CT,HOME SWEET HOME,1,0,0,3,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,N,0,0,997,0,T019,P0003
56259488,San Francisco-Oakland-San Jose CA,MOVERS & SHAKERS,1,0,0,2,Y,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,0,0,998,0,T019,P0003
56266609,New York NY,LOW-RISE LIVING,1,0,0,2,Y,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,7,N,0,0,,0,T019,P0003
56278691,San Francisco-Oakland-San Jose CA,YOUNG DIGERATI,1,0,0,2,Y,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,N,0,0,997,0,T019,P0003
56297783,San Francisco-Oakland-San Jose CA,WHITE PICKET FENCES,1,0,0,2,Y,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,N,0,0,989,0,T019,P0003
56308438,Atlanta GA,BOOMTOWN SINGLES,1,0,0,1,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,N,0,0,994,0,T019,P0003
56312055,El Paso TX,MOBILITY BLUES,1,0,0,1,Y,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,N,0,0,999,1,T019,P0003
56330735,Orlando-Daytona FL,HOME SWEET HOME,1,0,0,1,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,0,0,999,0,T019,P0003
56428154,Washington DC - Hagerstown MD,MOVERS & SHAKERS,1,0,0,0,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N,0,0,999,1,T019,P0003
56487946,Los Angeles CA,NEW EMPTY NEST,1,0,0,0,Y,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,999,0,T019,P0003
62076922,Washington DC - Hagerstown MD,OLD GLORIES,1,0,0,2,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,863,1,T019,P0003
62110116,Philadelphia PA,SECOND CITY ELITE,1,0,0,2,Y,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,N,0,0,995,1,T019,P0003
62150138,San Francisco-Oakland-San Jose CA,YOUNG DIGERATI,1,0,0,1,Y,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,N,0,0,933,0,T019,P0003
